0.010000 0.970539 0.009715 0.009498 0.000247 0.009715 0.000030 0.000247 0.000007
0.020000 0.942353 0.018743 0.017863 0.001042 0.018743 0.000162 0.001042 0.000054
0.030000 0.915781 0.026879 0.024921 0.002419 0.026879 0.000462 0.002419 0.000240
0.040000 0.891195 0.033905 0.030516 0.004383 0.033905 0.000995 0.004383 0.000717
0.050000 0.867460 0.040426 0.035595 0.006518 0.040426 0.001687 0.006518 0.001368
0.060000 0.844779 0.046370 0.039922 0.008929 0.046370 0.002482 0.008929 0.002219
0.070000 0.823604 0.051431 0.043404 0.011562 0.051431 0.003534 0.011562 0.003473
0.080000 0.802636 0.056364 0.046865 0.014134 0.056364 0.004635 0.014134 0.004867
0.090000 0.780848 0.061767 0.050674 0.016711 0.061767 0.005619 0.016711 0.005903
0.100000 0.762642 0.065147 0.052619 0.019593 0.065147 0.007065 0.019593 0.008195
0.110000 0.742865 0.069404 0.055460 0.022271 0.069404 0.008326 0.022271 0.009998
0.120000 0.724589 0.072830 0.057549 0.025033 0.072830 0.009752 0.025033 0.012386
0.130000 0.705120 0.076849 0.060125 0.027906 0.076849 0.011182 0.027906 0.014063
0.140000 0.687453 0.079885 0.061973 0.030690 0.079885 0.012778 0.030690 0.016648
0.150000 0.669184 0.083308 0.064060 0.033448 0.083308 0.014200 0.033448 0.019045
0.160000 0.651547 0.086343 0.065985 0.036124 0.086343 0.015766 0.036124 0.021766
0.170000 0.634488 0.089069 0.067402 0.039040 0.089069 0.017374 0.039040 0.024517
0.180000 0.618273 0.091281 0.068612 0.041834 0.091281 0.019166 0.041834 0.027720
0.190000 0.600520 0.094376 0.070415 0.044689 0.094376 0.020728 0.044689 0.030207
0.200000 0.584534 0.096490 0.071674 0.047301 0.096490 0.022485 0.047301 0.033723
0.210000 0.568770 0.098410 0.072727 0.050093 0.098410 0.024410 0.050093 0.037087
0.220000 0.552829 0.100551 0.073856 0.052764 0.100551 0.026069 0.052764 0.040615
0.230000 0.536342 0.102905 0.075179 0.055573 0.102905 0.027847 0.055573 0.043675
0.240000 0.521557 0.104309 0.075771 0.058363 0.104309 0.029825 0.058363 0.047503
0.250000 0.506470 0.105949 0.076591 0.060990 0.105949 0.031631 0.060990 0.051429
0.260000 0.493883 0.106162 0.076383 0.063571 0.106162 0.033793 0.063571 0.056474
0.270000 0.478310 0.108026 0.077437 0.066226 0.108026 0.035637 0.066226 0.060111
0.280000 0.464724 0.108927 0.077741 0.068609 0.108927 0.037423 0.068609 0.065042
0.290000 0.450976 0.109621 0.077982 0.071421 0.109621 0.039782 0.071421 0.069176
0.300000 0.436138 0.111219 0.078784 0.073858 0.111219 0.041424 0.073858 0.073499
0.310000 0.423135 0.111827 0.078860 0.076178 0.111827 0.043211 0.076178 0.078784
0.320000 0.410120 0.112251 0.078945 0.078684 0.112251 0.045378 0.078684 0.083687
0.330000 0.394687 0.114064 0.079873 0.081375 0.114064 0.047184 0.081375 0.087376
